Libelle Arabe	commune	taux_jeunesse
???????	Boujedyane	27.7
????	Charrate	27.7
???????	Boulaouane	27.7
??? ?????	Mers El Kheir	27.7
????	Bourd	27.7
????	Guigou	27.7
?????	Enjil	27.7
?????	Smimou	27.7
??????	Bounrar	27.7
????? ?????	Aouint Yghomane	27.7
????? ????	Oulad Hassoune	27.7
??????	Amghras	27.7
???? ??????	Sidi Ouaaziz	27.7
???? ???? ??????	Sidi Rahal Chatai	27.6
??? ?????	Ain Harrouda	27.6
????? ??? ???????	Oulad Ali Toualaa	27.6
????????	Layayda	27.6
?????	Khalfia	27.6
???????	Rouached	27.6
??? ??	Oued Laou	27.6
??? ???	Bab Berred	27.6
???? ?? ????	Karia Ba Mohamed	27.6
?????	Ketama	27.6
??????	Ratba	27.6
??? ??????	Bni Bounsar	27.6
?????	Bouhlou	27.6
???? ???? ?? ???	Sidi Ahmed Ou Amar	27.6
??????	Lamhara	27.6
??????	Tan-Tan	27.6
??????	Ouzioua	27.6
??? ????	Ain Attig	27.5
???????	Laghoualem	27.5
??????	Krifate	27.5
????? ????	Ouled Gnaou	27.5
??????	M'diq	27.5
??? ???????	Ain Dfali	27.5
???????	Tafrant	27.5
??????	Imzouren	27.5
???? ?????	Hassi-Berkane	27.5
????? ??? ????	N'zalat Bni Amar	27.5
????? ??? ????	Oulad Ali Youssef	27.5
??? ??????	Ain Chair	27.5
??????	Talmest	27.5
????????	Timezgadiouine	27.5
??????	Tilemzoun	27.5
????? ??????	Ferkla Es-Soufla	27.5
???????	Al Manzla	27.4
????? ???? ????	Oulad Yahya Louta	27.4
??? ????? ???????	Ras El Ain Chaouia	27.4
???? ????????	Kelâat Sraghna	27.4
????? ?????	Ouled Yaich	27.4
??? ???????	Dir El Ksiba	27.4
?????	Tamedit	27.4
??????	Tainaste	27.4
??? ??????	Ain Zohra	27.4
??? ??????	Bab Marzouka	27.4
?????	Guercif	27.4
??? ?????	Ahl Angad	27.4
??????	Aquermoud	27.4
???????	Targante	27.4
???? ?????	Ida Ou Guelloul	27.4
????? ???? ??????	Zaouia Sidi Tahar	27.4
????? ????	Oulad Aissa	27.4
??? ??????	Ida Ou Gailal	27.4
?????	Tagante	27.4
?????	Azgour	27.4
?????	Tazart	27.4
?????	Abadou	27.4
?????	Imlil	27.4
????	Lahdar	27.3
????	Tatoft	27.3
?????	Metrane	27.3
???????	Chougrane	27.3
??? ???????	Bin El Ouidane	27.3
?????? ???????	Meknassa Acharqia	27.3
???????	Laaouinate	27.3
???? ?????	Sidi Borja	27.3
??????	Al Mahbass	27.3
?????	Assaki	27.3
????? ??????	Toudgha Essoufla	27.3
????????	Tadighoust	27.3
???????	Lgharbia	27.2
????	Mettouh	27.2
??????	Lahouaza	27.2
??????	El Borouj	27.2
???????	Chbanate	27.2
??? ?? ???????	Dar Oum Soltane	27.2
?????	Lagfaf	27.2
??? ????	Bni Bataou	27.2
??? ???? ???????	Bni Ounjel Tafraout	27.2
????	Louta	27.2
???????	Tiztoutine	27.2
?????? ??????	Aghbalou Aqorar	27.2
??????	Tazouta	27.2
??? ????	Bni Khaled	27.2
?? ?????	Had Dra	27.2
???????	Lahsinate	27.2
??????	Takoucht	27.2
????	Igli	27.2
???????	Lakhsas	27.2
??? ???????	Lalla Takarkoust	27.2
??????	Imgdal	27.2
??? ????	Ait Zineb	27.2
????? ?????	Ouled Zidane	27.1
?????	Mehdya	27.1
??? ????	Bir Mezoui	27.1
?????	Naour	27.1
??? ??????	Bni Bouayach	27.1
?????	Selouane	27.1
???????	Boufakrane	27.1
??? ?????	Ait Naamane	27.1
?????	Boumia	27.1
??? ????	Ait Bazza	27.1
?????	Tiouli	27.1
???? ???? ??????	Sidi Ahmed Essayeh	27.1
?????	Adaghas	27.1
??????? ???????	Igoudar Mnabha	27.1
??? ????? ????? ??????	Ait Sedrate Jebel Soufla	27.1
????? ????	Ouled Cebbah	27
?????	Gdana	27
????? ????	Oulad Said	27
??? ???????-???? ???????	Ain Johra-Sidi Boukhalkhal	27
???? ??? ??????	Sidi Abderrazak	27
??? ????? ????? ?????	Souk Sebt Ouled Nemma	27
??????? ????????	Gzenaya Al Janoubia	27
????	Takate	27
????????	Talgjount	27
????? ?????	Oulad Teima	27
???????	El Guerdane	27
??????	Lamhadi	27
??????	Tioughza	27
???? ???? ?? ???	Sidi Moussa Ben Ali	26.9
??????	M'garto	26.9
?? ?????? ?? ??? ???????	Si Hsaien Ben Abderrahmane	26.9
????? ????	Oulad M'rah	26.9
????? ????	Ouled Ayad	26.9
???? ?????	Sidi Lamine	26.9
?????????	Mallalienne	26.9
??????	Zghira	26.9
????	Arazane	26.9
?????	Guelmim	26.9
??????	Zaaroura	26.8
??? ???	Bni Oual	26.8
?? ?????	Ben Maachou	26.8
??? ??????	Ain Jemaa	26.8
????? ?????	Moulay Bouchta	26.8
??? ?????	Thar Es-Souk	26.8
??? ???????	Ain Taoujdate	26.8
??????	Agourai	26.8
??????? ????	Immouzzer-Kandar	26.8
???? ?????	Sidi Harazem	26.8
??????	Tounfite	26.8
??????	Bouarfa	26.8
???? ??? ???????	Sidi Ali El Korati	26.8
??????	Imgrade	26.8
?????? ???????	El Koudia El Beida	26.8
?????	Assaisse	26.8
?????	Demnate	26.8
????	Ghassate	26.8
?????	Ayacha	26.7
??? ????????	Souk El Arbaa	26.7
??????	Fdalate	26.7
???? ?????	Sidi Hammadi	26.7
????????	Timoulilt	26.7
???? ?????	Sidi Redouane	26.7
???????	Taifa	26.7
??? ????	Sabaa Aiyoun	26.7
??????	Lebkhata	26.7
???	Issen	26.7
??????	Tazemmourt	26.7
??????	Zirara	26.6
??? ??????	Ait Ouikhalfen	26.6
??? ?????	Bni Zrantel	26.6
???????	Ourtzarh	26.6
??? ?????	Bni Hadifa	26.6
?????	Midelt	26.6
??? ????	Ait Melloul	26.6
??? ???????	Sebt Ennabour	26.6
?? ?????	Fam El Hisn	26.6
????? ?????	Oulad Mtaa	26.6
?????	El Faid	26.6
???????	Larache	26.5
?????????	El Mansouria	26.5
?? ????	Ben Ahmed	26.5
???? ??????	Majmaa Tolba	26.5
??? ????	Ain Kaicher	26.5
??? ???????	Had Bouhssoussen	26.5
???? ?????	Sidi Bousber	26.5
?????	Kissane	26.5
??????	Ouislane	26.5
???? ?????? ??? ???????	Sidi Slimane Moul Al Kifane	26.5
??? ??????	Ait Saghrouchen	26.5
????	Lehri	26.5
??? ?????	Ahl Oued Za	26.5
????? ????????	Moulay Bouzarqtoune	26.5
???? ??? ???? ?? ????	Sidi Abdellah Ou Said	26.5
?????	Tamri	26.5
??? ?????	Mirleft	26.5
??????	Ijoukak	26.5
????? ??????	Tidili Mesfioua	26.5
????????	Tizgzaouine	26.5
??? ?????	Akka-Ighane	26.5
???? ????	Jamaat Shaim	26.4
?????	Mghogha	26.4
????????	Skhirate	26.4
????????	Ziaida	26.4
??? ????	Ait Malek	26.4
?? ??????	Foum Jemaa	26.4
??????	Afourar	26.4
?????? ???????	Arbaa Taourirt	26.4
??????	Serghina	26.4
?? ??????	Oum Rabia	26.4
??? ????	Bab Boudir	26.4
??? ?????	Ait Iaaza	26.4
???? ???? ?? ??? ????	Sidi Ahmed Ou Abdallah	26.4
??? ??????	Dar Jamaa	26.4
???????	Touama	26.4
?????	Tinzart	26.4
??????	Iznaguen	26.4
??? ????	Bni Harchen	26.3
?????? ?????	Moualine El Oued	26.3
??????	Mzoura	26.3
???	Bzou	26.3
?????	Marchouch	26.3
??? ?????	Ait Siberne	26.3
??? ?????	Ait Mimoune	26.3
?????	Jahjouh	26.3
??? ?????	Souk L'qolla	26.3
??? ???? ???????	Bni Ahmed Gharbia	26.3
??????	Maghraoua	26.3
??? ??? ????	Ain Bni Mathar	26.3
??? ?????	Ida Ou Moumen	26.3
????????	Lakhnafif	26.3
??????	Freija	26.3
?????	Aferkat	26.3
?????	Tamaguert	26.3
???? ??????	Ighrem N'ougdal	26.3
??? ?????	Ibn Yacoub	26.3
???? ??????	Sidi Hsaine	26.3
??? ????	Had Kourt	26.2
?????	Berrechid	26.2
???? ????	Sidi Bennour	26.2
????????	Sfassif	26.2
???????	El Bibane	26.2
???? ????	Tizi Ouasli	26.2
?? ?????	Ben Taieb	26.2
??? ????	Ait Yaazem	26.2
???? ??????	Sidi El Makhfi	26.2
???? ???? ??????	Sidi Yahya Ou Saad	26.2
??????	Tanourdi	26.2
??? ?? ?????	Ait Ben Yacoub	26.2
??????	Talzemt	26.2
????	Debdou	26.2
??????	Ounagha	26.2
????	Tidzi	26.2
?????	Asrir	26.2
??????	Annakhil	26.2
??????	Ouirgane	26.2
??????	Tassousfi	26.2
??? ??????	Ait Ouribel	26.1
??? ????	Bni Smir	26.1
???????	Ouaouizeght	26.1
??????	Taghramt	26.1
??? ?????	Ain Beida	26.1
???? ?????	Kalaat Bouqorra	26.1
??????	Brarha	26.1
?????	Senada	26.1
?????	Azlaf	26.1
???????	Iaazzanene	26.1
??????	Al Aaroui	26.1
???????	Taourirt	26.1
?????	Oualili	26.1
??????	Tancherfi	26.1
????	Aguerd	26.1
???????	El Hanchane	26.1
???? ???? ??? ???? ?? ?????	Kasbat Sidi Abdellah Ben M'barek	26.1
?? ???????	Had Al Gharbia	26
????? ???	Oulad Abbou	26
?????	Martil	26
????? ??? ??????	Moulay Abdelkrim	26
????	Galaz	26
?????	El Mers	26
??????? ??????	Imouzzer Marmoucha	26
?????? ???????	Meknassa Al Gharbia	26
?????? ?????	Laqsabi Tagoust	26
???? ??????	Sidi M'bark	26
??????	Ouisselsate	26
????? ??????	Toudgha El Oulia	26
??? ??????	Dar Chaoui	25.9
????????	Ezzhiliga	25.9
???? ???? ????	Khemis Sidi Yahya	25.9
????	Fifi	25.9
?????	Teroual	25.9
??????	Rouadi	25.9
??????	Nekkour	25.9
????????	Zrarda	25.9
???? ????	Tizi N'ghachou	25.9
???? ?????	Ida Ou Kazzou	25.9
???????	Imoulass	25.9
???? ?????	Sidi Badhaj	25.9
??????	Askaouen	25.9
????	Siroua	25.9
????????	Youssoufia	25.8
????? ?????	Aquouass Briech	25.8
??????? ???????	Khemisset Chaouia	25.8
??? ??????	Ait Belkacem	25.8
??? ??????	Ras Ijerri	25.8
???? ????	Sidi Jaber	25.8
????	Zoumi	25.8
?????	Ouannana	25.8
????	Oudka	25.8
?????	Azzaba	25.8
?????	Kerrouchen	25.8
??? ?????	Ait Saadelli	25.8
?????	Fezouane	25.8
??????	Argana	25.8
???????	Lagfifat	25.8
????????	Tafraouten	25.8
???? ??????	Talat N'yaaqoub	25.8
???? ????	Sidi Moumen	25.7
?????	Guettaya	25.7
????	Semguet	25.7
???????	Taghzirt	25.7
???? ???? ??????	Sidi Ahmed Cherif	25.7
?????	Aknoul	25.7
?? ????	Ben Smim	25.7
??????	Matmata	25.7
?????? ?????	Aguelmam Azegza	25.7
??? ????	Ait Baha	25.7
??????	Taghjijt	25.7
?????	Tizguine	25.7
????	Adis	25.7
?????? ???????	Sahel Chamali	25.6
???????	Bouznika	25.6
?????? ?? ????	Fquih Ben Salah	25.6
????? ?????	Oulad Amghar	25.6
??????	Ouardana	25.6
??? ???????	Bni Bouifrour	25.6
??? ??????	Ain Timguenai	25.6
????? ???	Oulad Dahou	25.6
???? ??? ???? ?? ?????	Sidi Abdellah Ou Belaid	25.6
???? ????	Sidi Rahal	25.6
?????	Tiflet	25.5
????	Hattane	25.5
??? ????	Ait Ammar	25.5
??? ?????	Kaf El Ghar	25.5
???????	Trougout	25.5
?????	Iferni	25.5
???????	Ihaddadene	25.5
???? ???? ???????	Sidi Hmad Ou M'barek	25.5
????	Fask	25.5
??????	Boutrouch	25.5
???? ???????	Mechraa Bel Ksiri	25.4
????? ????? ?????	My Driss Aghbal	25.4
???????	Bouqachmir	25.4
???? ??	Oued Zem	25.4
??? ????	Hel Merbaa	25.4
??? ????	Bni Oulid	25.4
?????	Ajdir	25.4
???????	Tigrigra	25.4
??????	Tamaloukte	25.4
??????	Ouneine	25.4
??????	Goulmima	25.4
????????	Brachoua	25.3
???????	Boujniba	25.3
???????	Boulanouare	25.3
???? ????	Sidi Hcine	25.3
??????	Aguelmous	25.3
?????	Aourir	25.3
????	Tiout	25.3
?????	Telouet	25.3
??????	Khouribga	25.2
??????	Tachraft	25.2
???? ????? ???????	Moha Ou Hammou Zayani	25.2
???????	Ijermaouas	25.2
?????	Itzer	25.2
????? ??????	Ksar El Kebir	25.1
????????	Benslimane	25.1
????? ??? ?????	Oulad Ali Mansour	25.1
??????	Tsaft	25.1
??? ?????	Bni Ansar	25.1
??? ?????	Ait El Mane	25.1
??????	Mestegmer	25.1
??????-???? ????	El Aioun Sidi Mellouk	25.1
???? ??????	Sidi Bouhria	25.1
??????	Tiznit	25.1
??? ?????	Ahl Ramel	25.1
?????	Tighirt	25.1
??? ?????	Bir Gandouz	25.1
??????	El Gara	25
???? ???????	Sidi El Rhandour	25
???? ??????	Sidi Slimane	25
??? ????	Ain Orma	25
??????	Tazroute	25
?????	Midar	25
?????	Amejjaou	25
??????	El Hajeb	25
????????	Mtarnagha	25
??????	Guenfouda	25
???? ???? ??????	Sidi H'mad Ou Hamed	25
????	Aday	25
??????	Tisrasse	25
????? ?????	Oulad Gouaouch	24.9
??????	M'hajer	24.9
?????	Tahla	24.9
???????	Tazarine	24.9
??????	Imsouane	24.9
???	Tiqqi	24.9
???? ?????	Machraa El Ain	24.9
??????	Tangarfa	24.9
???????	Ménara	24.9
??????	Amizmiz	24.9
??????	Oulmes	24.8
??????	Chefchaouen	24.8
????? ?????	Oulad Boubker	24.8
??? ?????	Oued Ifrane	24.8
????????	Tighassaline	24.8
???? ?????	Sidi Boubker	24.8
??????	Inezgane	24.8
??? ?????	Imi-Mqourn	24.8
?????	Tighmi	24.8
?????	Tataoute	24.8
????? ???? ??????	Ifrane Atlas Saghir	24.8
??? ?????	Ida-Ougoummad	24.8
????	Asjen	24.7
??? ?????	Bejaad	24.7
??? ????	Bni Chiker	24.7
?????	M'rirt	24.7
?????	Abteh	24.6
?? ???	Oumazza	24.6
??? ????	Ouaoumana	24.6
??????	Belyounech	24.6
??? ??? ????	Bni Abdellah	24.6
?????????	El Mariniyine	24.6
????????	Bhalil	24.6
???????	Smia	24.6
????	Zaio	24.6
???? ?????	Sidi Kaouki	24.6
??????? ????????	Dcheira El Jihadia	24.6
???????	El Jadida	24.5
????	Settat	24.5
??? ????	Ait Ichou	24.5
???? ?????	Kasba Tadla	24.5
???? ??????-???????	Sidi Slimane Echcharaa	24.5
????????	Chouihia	24.5
?????	Labyar	24.5
????????	Jdiriya	24.5
????????	Tafingoult	24.5
???????	Médina	24.4
??? ????	Bni Arouss	24.4
???????	Reggada	24.4
???????	Timoulay	24.4
?????	Assilah	24.3
???????	Moqrissat	24.3
???????	Jbarna	24.3
??? ??????	Ras Tabouda	24.3
?????	Gafait	24.3
???????	Amskroud	24.3
??? ????	Béni Mellal	24.2
??? ???? ????	Ait Youssef Ou Ali	24.2
???????	Laatamna	24.2
?????	Aghbal	24.2
???????	Lamnizla	24.2
???? ??? ??????	Sidi Ali Bourakba	24.1
???? ?????	Ribate El Kheir	24.1
????	Madagh	24.1
???? ???? ??????	Sidi Ahmed Ou Moussa	24.1
??? ???????	Ain Chouater	24.1
??? ????	Ait Ikkou	24
????	Azrou	24
????	Sefrou	24
??????	Boulemane	24
??????	El Kbab	24
???????	Boughriba	24
???????	Bounaamane	24
????	Mesti	24
?????????	Azaghar N'irs	24
??????	Aguinane	24
???????	Mzefroune	23.9
?????	Tétouan	23.9
??? ????? ?????	Bni Sidel Jbel	23.9
???????	Nador	23.9
????? ??????	Oulad Mkoudou	23.9
????? ????	Aouint Lahna	23.9
???? ?????	Tizi N'test	23.9
??????	El Hammam	23.8
??? ?????	Ait Ishaq	23.8
??????	Temsamane	23.8
??? ????	Ait Mait	23.8
??? ????? ????	Bni Sidel Louta	23.8
????	Saiss	23.8
?????	Rislane	23.8
??? ????	Ait Milk	23.8
??? ?????	Ait Makhlouf	23.8
???? ?? ??? ????	Sidi Bouabdelli	23.8
??????	Masmouda	23.7
??? ?? ?????	Ait Oum El Bekht	23.7
???????	Imrabten	23.7
????? ?????	Moulay Bouazza	23.6
??? ???	Bni Quolla	23.6
???????	Zeghanghane	23.6
?????	Toulal	23.6
?????	Ifrane	23.6
??????	El Menzel	23.6
???? ????	Sidi Ifni	23.6
????? ????	Moulay Rachid	23.5
???????? ????? ????	Rdadna Oulad Malek	23.5
??? ??? ???	Sebt Ait Rahou	23.5
????	Ouezzane	23.5
?????	Jerada	23.5
??? ???? ?????	Ait Aissa Ihahane	23.5
????????	Taroudannt	23.5
???????	Rommani	23.4
??? ?????? ???????	Ait Bouyahia El Hajjama	23.4
??????	Khenifra	23.4
???? ????????	Sidi Boushab	23.4
???????	Tafraout	23.4
??????	Imaouen	23.4
?????	Tagmout	23.4
????	Hssaine	23.3
??? ?? ??	Bir Tam-Tam	23.3
?????	Aklim	23.3
????	Massa	23.3
????? ????	Tnine Amellou	23.3
???? ????	Sidi Kacem	23.2
???????	Brikcha	23.2
?????-????	Skoura M'daz	23.2
????	Taza	23.2
?? ????	Ben Khlil	23.2
????????	Kénitra	23.1
????? ?????	Zaouiat Cheikh	23.1
??? ????????	Dar El Kebdani	23.1
??? ???????	Dar El Hamra	23.1
????????	Saidia	23.1
??????	Touissit	23.1
??? ??????	Ait Ouadrim	23.1
????	Ibdar	23.1
?????	Azemmour	23
?????	Ajdir	23
??????	Iksane	23
??? ?????	Ait Ouabelli	23
????	Safi	22.9
???? ?????	Sidi Othmane	22.9
??????	El Menzeh	22.9
????? ????? ?????	My Idriss Zerhoun	22.9
??????	Agadir	22.9
???? ???? ?? ???	Sidi Youssef Ben Ali	22.9
???????	Tigzmerte	22.9
??????	Boukraa	22.8
???????	El Ksiba	22.8
??? ???? ????	Ahl Sidi Lahcen	22.8
?????	El Borj	22.8
?????	Aziar	22.8
???? ????	Sidi Ouassay	22.8
??? ?????	Rass Oumlil	22.8
??? ?????	Ait Boufoulen	22.8
?????	Témara	22.7
??????	Rghioua	22.7
??????	Irhzrane	22.7
????????	Tafoughalt	22.7
???? ??? ???? ?????????	Sidi Abdallah El Bouchouari	22.7
???????	Al Hoceima	22.6
?????	Meknès	22.6
??????	Arekmane	22.6
???????	Bigoudine	22.6
???? ?????? ?? ???	Sidi H'saine Ou Ali	22.6
????????	Maaziz	22.5
???????	Naima	22.5
??? ?????	Ras Asfour	22.5
???? ??????	Hay-Hassani	22.4
??????	Tafersit	22.4
??? ?????	Ras-El-Ma	22.4
???? ?????	Mechraa Hammadi	22.4
??? ??????	Bni Boufrah	22.3
??????	Taghazout	22.3
?????	Irherm	22.3
???? ???? ??????	Sidi Allal Lamsadder	22.2
??????	Houderrane	22.2
???? ????	Sidi Amar	22.2
??? ?????	Ain Leuh	22.2
?????? ??? ??? ????	Arbaa Ait Abdellah	22.2
??????	Toughmart	22.2
????????	El Hagounia	22.1
????	Oujda	22.1
???????	Essaouira	22.1
????	Anfeg	22.1
????????	Khémisset	22
???????	Boudinar	22
??????	Tazaghine	22
???????	Imouzzer	22
??????	Tamanarte	22
?????	Tiddas	21.9
?????	Assads	21.8
???????	Tabriquet	21.6
?????? ??????	Arbaa Sahel	21.6
??????	Tadrart	21.6
??????????	Al Barkanyene	21.5
????	Anzi	21.5
?????	Berkane	21.4
?????	Idmine	21.4
??????	Nihit	21.4
??? ????	Aïn-Chock	21.2
??? ???????	Ain Erreggada	21.2
????	Amalou	21.2
??? ?????	Aïn-Sebaâ	21.1
????	Tizaghte	21.1
?????? ??????	El Maader El Kabir	21
???? ????????	Sidi Bernoussi	20.9
????????	Mohammadia	20.9
????	Figuig	20.9
??? ???????	Fès-Médina	20.8
?????	Aqsri	20.7
??? ????	Ait Mzal	20.7
?????	Msied	20.7
????? ????? ???????	Oulad Daoud Zkhanine	20.6
?????	Sbata	20.5
?????? ??????	Echatea El Abied	20.5
????? ????	Taliouine Assaka	20.5
??? ??????	Bab Lamrissa	20.4
???????	Souani	20.3
???? ???????	Tidsi-Nissendalene	20.3
???? ????	Targa Wassay	20.3
??????	Sbouya	20.2
????? ????	Tnine Aglou	20.1
??????	Tassegdelt	20.1
?????	Gueliz	20
????	Adar	20
?????? ??? ??????	Méchouar-Fès-El Jadid	19.9
????	Haouza	19.8
?????? ??? ????	Arbaa Ait Ahmed	19.7
????????	El Youssoufia	19.6
?????	Hilala	19.6
????	Adrej	19.5
????????	Harhoura	19.4
?????? ??????	Arbaa Rasmouka	19.4
????	Ouijjane	19.4
??????	Tisfane	19.4
???? ????	Afella Ighir	19.4
?????	Issafen	19.4
??? ???????	Ida Ou Gougmar	19.4
???????	Toufelaazt	19.2
?????	Bettana	19.1
??? ?????	Ait Ouafqa	19.1
??????	Talilit	19
??? ????	Ben-M'sick	18.9
???????	Tizoughrane	18.8
?????	Ahfir	18.1
????? ???????	Marrakech-Médina	18.1
?????? ???????	Asoukhour Assawda	18
??? ??????	Bni Marghnine	17.9
???? ???????	Hay-Mohammadi	17.8
????? ???????	Yacoub El Mansour	17.8
???? ???????	Al Machouar-Stinia	17.6
?????	Agdal	17.6
???????	Oualqadi	17.2
???????	Tarsouat	17.2
???? ????	Sidi Boaal	17.1
??????	Touizgui	17.1
??????	Amgala	17
???? ??????	Targua-Ntouchka	17
???????	Tifariti	16.9
??????	Al-Fida	16.8
?????	Tindine	16.8
????	Anfa	16.4
????? ????	Tnine Aday	16.3
???? ????	Sidi Mzal	16.3
??? ????	Ait Issafen	16.1
??? ??????	Ida-Ougnidif	16
????– ??????	Méchouar-Kasba	16
????? ??????	Agdal Riyad	15.9
??? ??? ????	Ait Abdallah	15.9
??? ???????	Mers-Sultan	15.8
????????	Toumliline	15.6
???? ?????	Sidi Belyout	15.3
????????	Maârif	15.3
???? ??????	Irigh N'tahala	15.3
???????	Tassrirt	15.3
???? ???? ??????	Sidi Ahmed Laaroussi	15.2
???????	Souissi	15
???????	Dcheira	14.9
????????	Touarga	14.9
?????? ???????	Tafraout El Mouloud	14.5
?????	Aouguenz	14.4
???? ??????	Tizi Ntakoucht	14.1
???????	Chbika	13.7
????	Hassan	13.7
??????	Daoura	13.6
???? ????	Gueltat Zemmour	13.5
?????	Tabia	13.4
??? ??????	Imi N'tayart	12.6
?????	Tanalt	12.3
?????	Aousserd	12.1
????	Ammelne	11.4
??????? ??????	Gleibat El Foula	5.9
??????	Jraifia	4
?????	Lamssid	2.6
???????	El Argoub	2
??? ??????	Bir Anzarane	0.7
??????	Imlili	0.2
?? ?????	Oum Dreyga	0
???????	Aghouinite	
?????	Mijik	
????	Sebta	
??????	Melilia	
?????	Zoug	
???????	Lagouira	
