Libelle Arabe	commune	taux_vieillissement
????? ??? ?????	Skoura Ahl El Oust	14
??? ???	Ait Youl	14
?????	Tah	13.9
????????	El Hagounia	13.9
???????	El Jadida	13.9
???? ????? ?????	Sidi M'hamed Akhdim	13.9
??? ??????	Bir Taleb	13.9
???? ??????	Hay-Hassani	13.9
?????	Mellila	13.9
??? ???	Ait Hammou	13.9
??? ?????	Bab Tiouka	13.9
??? ??? ?????	Dar Ould Zidouh	13.9
??? ???????	Dir El Ksiba	13.9
???????	Rhouazi	13.9
????? ??????	Oulad Zbair	13.9
?????	Enjil	13.9
????	Riah	13.8
????	Settat	13.8
???? ??????	Sidi Dahbi	13.8
????? ?????	Oulad Msabbel	13.8
??????	Eddachra	13.8
?? ???	Oumazza	13.8
?????	Zaggota	13.8
??? ?????	Ait Naamane	13.8
?????	Ouizeght	13.8
??????	M'zouda	13.8
??????	Adassil	13.8
??? ????	Bni Garfett	13.7
????? ??? ??????	Moulay Abdelkader	13.7
???? ???? ?? ???	Sidi Moussa Ben Ali	13.7
??? ???????-?????	Ain Dorbane-Lahlaf	13.7
????? ????? ?????	Oulad Bouali Loued	13.7
????????	Tamchachate	13.7
??? ????? ????? ?????	Souk Sebt Ouled Nemma	13.7
??????	Tanougha	13.7
??? ?????	Bni Tadjite	13.7
?????? ??????	Timzguida-Ouftas	13.7
???????	Laamamra	13.7
?????	Tidili	13.7
??? ?????	Ait Majden	13.7
????? ?????	Oulad Amrane	13.6
???????	Larache	13.6
?????	Jaqma	13.6
?????????	Lambarkiyne	13.6
??????	Fdalate	13.6
??????	El Borouj	13.6
??? ????	Ait Yadine	13.6
???????	Jbabra	13.6
??????	Imzouren	13.6
??? ??????	Bni Bouayach	13.6
????? ?????	Moulay Yacoub	13.6
??????	M'zizel	13.6
???? ?????	Sidi Ishaq	13.6
?????	Smimou	13.6
??? ????	Ait Baha	13.6
??????	Lamhadi	13.6
??? ?????	Ait Imour	13.6
????? ????	Oulad Aarrad	13.6
????????	Laatamna	13.6
?????	Ouargui	13.6
?????	Zerkten	13.6
??? ?????	Jbel Lahbib	13.5
???? ???? ??????	Sidi Ahmed Benaissa	13.5
???? ?????	Sidi El Mekki	13.5
???? ??? ???????	Sidi Ali Labrahla	13.5
???? ????????	Kelâat Sraghna	13.5
???????	Laqraqra	13.5
???????	Chtaiba	13.5
????? ?? ?????	Ouled Ben Hammadi	13.5
????	Tekna	13.5
???????	Laanoussar	13.5
??????	Tounfite	13.5
??????	Amersid	13.5
?????	Barkine	13.5
??? ?????	Ahl Angad	13.5
??????	Freija	13.5
?????	Alnif	13.5
???? ????	Jamaat Shaim	13.4
?????	Bouchane	13.4
?????	Laghdir	13.4
??? ???????	Oued Jdida	13.4
??????? ????	Immouzzer-Kandar	13.4
???? ?????	Sidi Harazem	13.4
???	Guir	13.4
??????	Tafetachte	13.4
???? ????? ????	Sidi M'hamed Dalil	13.4
??????	Agadir	13.4
?????? ???????	El Koudia El Beida	13.4
??? ????	Ait Igas	13.4
???????	Lakhsas	13.4
???? ?????	Sidi Boubker	13.4
?????? ????	Boumalne-Dades	13.4
??? ????? ???????	Bni M'hamed-Sijelmassa	13.4
???????	Saadla	13.3
??????	Sahel	13.3
??? ????????	Souk El Arbaa	13.3
?????? ????????	Mzamza Janoubia	13.3
???????	Bouguargouh	13.3
????? ????	Oulad Fares	13.3
???? ????	Sidi Moussa	13.3
???????	El Ganzra	13.3
???? ??????	Sidi Mokhfi	13.3
???????	Outerbat	13.3
??? ????	Ait Izdeg	13.3
???????-?????	Ksabi-Moulouya	13.3
??????	Bouarfa	13.3
??? ????	Ait Hadi	13.3
?????	Tamri	13.3
?????	Eddir	13.3
???	Issen	13.3
??????	Tilemzoun	13.3
??????	Fraita	13.3
?????	Jorf	13.3
???? ??? ????	Sidi Abdellah	13.2
????? ????	Oulad Aamer	13.2
??? ??	Oued Laou	13.2
????	Fifi	13.2
??????	Bouchabel	13.2
???? ??????	Sidi El Abed	13.2
??????	Bouarouss	13.2
???? ?????? ??? ???????	Sidi Slimane Moul Al Kifane	13.2
??? ???????	Ain Taoujdate	13.2
??????	Loulja	13.2
?????	Messassa	13.2
??? ?????	Ouad Amlil	13.2
?????	Tamanar	13.2
????? ????	Ouled Dlim	13.2
????????	Jbilate	13.2
???????	Ménara	13.2
?????	Aoulouz	13.2
??????	N'kob	13.2
??? ??????	Ait El Farsi	13.2
????	Melaab	13.2
???? ??????	Sidi Lyamani	13.1
???????	Bouznika	13.1
???? ?? ???	Machraa Ben Abbou	13.1
??? ??????	Ait Taleb	13.1
???? ????????	Skhour Rhamna	13.1
??????	Chefchaouen	13.1
???? ??????	Sidi Boutmim	13.1
????????	El Bsabsa	13.1
?????	Selouane	13.1
??????	Charqaoua	13.1
?????	Er-Rich	13.1
???? ?????	Sidi Borja	13.1
??? ???? ????	Ait Sidi Daoud	13.1
??? ???	Bouya Omar	13.1
??? ?????	Ait Ouassif	13.1
??? ????? ????? ???????	Ait Sedrate Sahl Charkia	13.1
??????	Allougoum	13.1
???????	Tagounite	13.1
?????	Tinghir	13.1
????	Fezna	13.1
???? ??????	Sidi Ettiji	13
???????	Esbiaat	13
????	Charrate	13
????? ???	Ouled Frej	13
???????	Toualet	13
????????	El Aamria	13
??????	Taouzint	13
????	Hssaine	13
??????	Bouhouda	13
????? ???? ??? ??????	Zaouiat Sidi Abdelkader	13
??????	Assebbab	13
???????	Talsint	13
????	Igli	13
?????	Demnate	13
????? ???? ???	Taghzoute N'ait Atta	13
????	Mogress	12.9
????????	Echemmaia	12.9
????????	Al Haouafate	12.9
???? ????	Sidi Bennour	12.9
??????	Jabria	12.9
????????	Sgamna	12.9
???? ???? ??????	Sidi Ahmed El Khadir	12.9
??? ??? ??????	Ait Ali Ou Lahcen	12.9
?????	Al Oued	12.9
???? ?????	Kalaat Bouqorra	12.9
???? ????? ?????	Sidi Haj M'hamed	12.9
??? ?????	Bni Gmil	12.9
??? ???????	Ait Bourzouine	12.9
?????	Boumia	12.9
??? ????	Ait Ayach	12.9
?????	Taddart	12.9
????	Majjat	12.9
???????	Tamazouzte	12.9
???? ???? ?? ??????	Sidi Aissa Ben Slimane	12.9
???? ??? ??????	Sidi Abdelkhaleq	12.8
???????	Lakhoualqa	12.8
??????	N'khila	12.8
????? ?????	Oulad Yaacoub	12.8
??? ????	Ait Taguella	12.8
???????	Lamrabih	12.8
??? ???? ???????	Bni Ahmed Cherqia	12.8
?????	Chakrane	12.8
???????	Driouch	12.8
??? ??? ????	Ait Harz Allah	12.8
???? ????? ?? ????	Sidi M'hamed Ben Lahcen	12.8
???????	Mibladen	12.8
??? ?????	Ras Laksar	12.8
??? ?????	Ait Daoud	12.8
?????	Ghmate	12.8
?????	Dzouz	12.8
??????	Taliouine	12.8
??? ????? ????? ??????	Ait Sedrate Jbel El Oulia	12.8
??????? ???????	M'hamid El Ghizlane	12.8
?????? ???????	Aghbalou-N'kerdous	12.8
????? ??????	Ferkla El Oulia	12.8
??????	Tinejdad	12.8
??????	Jraifia	12.7
???????	Lamrasla	12.7
?????	Kridid	12.7
???????	Atiamim	12.7
???? ????? ?????	Sidi M'hamed Chelh	12.7
?? ????	Foum Oudi	12.7
??? ????	Ain Lahsan	12.7
??? ?????	Ain Aicha	12.7
???????	Boufakrane	12.7
????? ????	Oulad Ayyad	12.7
????	Guigou	12.7
??????	Boumerieme	12.7
?????	Gourrama	12.7
???????	Tendrara	12.7
??????	Inezgane	12.7
???? ???? ?? ???	Sidi Ahmed Ou Amar	12.7
??????? ???????	Igoudar Mnabha	12.7
??????	Annakhil	12.7
??????	Tlauh	12.7
????????	Iguerferouane	12.7
??????	Boudnib	12.7
????? ????	Zaouiat Saiss	12.6
???????	Lahsasna	12.6
???????	Laatatra	12.6
????? ??????	Skoura Lhadra	12.6
??????	Boumaiz	12.6
??? ?? ????	Ait Ouqabli	12.6
??????	Taghramt	12.6
????	Bitit	12.6
??? ???????	Guers Tiaallaline	12.6
??????	Lamrija	12.6
???????	Tamegroute	12.6
??? ?????? ?????	Souk Tlet El Gharb	12.5
???? ?? ????	Kariat Ben Aouda	12.5
???? ????	Sidi Azzouz	12.5
?????????	El Mansouria	12.5
????????	M'nabha	12.5
????? ???? ????	Oulad Hassoune Hamri	12.5
????? ?????	Oulad Imloul	12.5
???????	Lounasda	12.5
????? ?????	Oulad El Garne	12.5
???? ???? ?????	Sidi Yahia El Gharb	12.5
????? ?????	Oulad Abdoune	12.5
??????	Ratba	12.5
?????	Selfat	12.5
????? ????	Oulad Settout	12.5
???????? ????????	Laattaouia Ech-Chaibia	12.5
???? ??????	Tidili Fetouaka	12.5
??????	Tighedouine	12.5
???????	Tazarine	12.5
????	Jdour	12.4
????? ????	Oulad Nouel	12.4
???? ???? ??????	Sidi Rahal Chatai	12.4
??? ???????	Dar Chaffai	12.4
?????	Jbiel	12.4
?? ??????	Foum El Anceur	12.4
?????????	Mallalienne	12.4
????? ?????	Oulad Mimoun	12.4
?????	Tizguite	12.4
????? ?????	Outat El Haj	12.4
?????	Guercif	12.4
???????	Douirane	12.4
?????	Bourrous	12.4
????? ????	Oulad Hassoune	12.4
?????	Akarma	12.4
????	Tilmi	12.4
????? ??????	Oulad Freiha	12.3
??????	Taounate	12.3
??????	Ouislane	12.3
???? ???? ?????	Sidi Yahia Ou Youssef	12.3
???????	Ermila	12.3
????? ????? ???	Houara Oulad Raho	12.3
???? ???????	Sid L'mokhtar	12.3
????? ????	Oulad Aissa	12.3
?????	Guelmim	12.3
??? ??????	Sid Zouine	12.3
????	Asni	12.3
????????	Jaidate	12.3
?????	Zemrane	12.3
????? ????	Oulad Khallouf	12.3
????? ???????	Tamda Noumercid	12.3
??? ????	Ait Hani	12.3
?????	Hrara	12.2
???? ???????	Sidi Smail	12.2
????? ?????	Oulad Rahmoune	12.2
???? ????	Sidi Moumen	12.2
????????	Labrikiyne	12.2
??? ???	Bni Leit	12.2
??? ?????	Bni Ammart	12.2
???? ??????	Sidi Bouzineb	12.2
??? ????????	Ait Boubidmane	12.2
??? ???????	Ain Bida	12.2
??????	Bou-Azmou	12.2
????	Zegzel	12.2
????? ???? ??????	Zaouia Sidi Tahar	12.2
??? ??? ????????	Ras Ain Rhamna	12.2
???????	Assahrij	12.2
??? ??????	Imi-N'oulaoune	12.2
???? ????	Sidi Hajjaj	12.1
????? ??????	Oulad Cherki	12.1
???? ????	Sidi Bettache	12.1
????? ?????	Agoudi N'lkhair	12.1
??????	Imilchil	12.1
??? ??????	Souk Kdim	12.1
??????	Bghaghza	12.1
??? ?????	Souk L'qolla	12.1
?????	Iqaddar	12.1
??????	Timahdite	12.1
??????? ????????	Dcheira El Jihadia	12.1
????	Anzou	12.1
??? ????? ????? ???????	Ait Sedrate Sahl El-Gharbia	12.1
???????	Taftechna	12.1
????	H'ssyia	12.1
????????	Errachidia	12.1
????? ?????	Chorfa M'daghra	12.1
??????	Taghbalte	12.1
???????	Nouirate	12
?????	Allyene	12
????? ??? ?????	Oulad Ali Mansour	12
?????	M'tioua	12
????????	Khlalfa	12
?????	Laqsir	12
??? ????? ?????	Ait Sebaa Lajrouf	12
????? ????	Aouint Lahna	12
????	Tata	12
??? ??????	Souk Tolba	11.9
??????? ??????	Lamharza Essahel	11.9
??? ??????	M'zem Sanhaja	11.9
?????	Azghar	11.9
??????	Tabaroucht	11.9
???? ?????	Tizi N'isly	11.9
???? ?? ????	Karia Ba Mohamed	11.9
???????	Timezgana	11.9
??? ?????	Ain Bou Ali	11.9
??????	Aghbalou	11.9
????? ???? ????	Zaouiat Sidi Hamza	11.9
???????	En-Nzala	11.9
????? ?????	Ouled M'hamed	11.9
??? ?????	Lalla Aaziza	11.9
??? ?????	Ras El Ain	11.8
???? ??? ?? ?????	Sidi Ali Ben Hamdouche	11.8
?????	Chtouka	11.8
?????? ????? ?????	Sahel Oulad H'riz	11.8
???????	Tilougguite	11.8
???????	Louadaine	11.8
?????	Ighoud	11.8
????????	Loudaya	11.8
???????	Aghouatim	11.8
?????	Lkheng	11.8
???? ???? ?????	Aarab Sebbah Gheris	11.8
??????	Es-Sifa	11.8
??????	Zmamra	11.7
???? ?? ????	Kasbat Ben Mchich	11.7
?????	Loulad	11.7
????	Mayate	11.7
???? ??????	Sidi El Hattab	11.7
??? ???? ???????	Bni Ahmed Gharbia	11.7
??? ??????	Bni Bounsar	11.7
??? ????	Bni Mathar	11.7
????????	Imintanoute	11.7
???????	El Guerdane	11.7
????? ?????	Aouint Yghomane	11.7
?????	Msied	11.7
???????	Choara	11.7
????? ???? ??????	Oulad Yahia Lagraire	11.7
????? ????	Ouled Ghanem	11.6
???? ???? ??????	Sidi Ameur Al Hadi	11.6
?????	Lamharra	11.6
??? ????	Ait Ouallal	11.6
???????	Zinat	11.6
?????	Tanaqoub	11.6
??????	Taoughilt	11.6
?????	Rhafsai	11.6
?????	Bouarg	11.6
?????	Anemzi	11.6
???? ?????	Sidi Yacoub	11.6
??? ?????	Sti Fadma	11.6
??? ?????	Ait Tamlil	11.6
???? ?????	Kalâat M'gouna	11.6
??????	Tamezmoute	11.6
???????	El Beddouza	11.5
???????	Médina	11.5
???????	Souaken	11.5
???????	El Marbouh	11.5
??????	Tagleft	11.5
??? ??? ????	Dar Bni Karrich	11.5
????????	Derdara	11.5
??? ???? ???????	Bni Gmil Maksouline	11.5
?????	Zaida	11.5
???????	Bouyablane	11.5
?????	Imider	11.5
????????	Loualidia	11.4
????	Ayir	11.4
????? ????	Oulad Aissa	11.4
????????	Khnichet	11.4
????????	Skhirate	11.4
????? ????	Oulad Sbih	11.4
??????	Azilal	11.4
????????	Mkansa	11.4
??? ???? ????? ?????	Bni Oukil Oulad M'hand	11.4
??? ??????	Ain Cheggag	11.4
????? ?????	Ouled Ghziyel	11.4
?????	Mrija	11.4
?????	Aourir	11.4
?????	Agafay	11.4
??????	Tamallalt	11.4
??? ?????	Ait Faska	11.4
???????	Bouzeroual	11.4
??????	Fezouata	11.4
?????? ????????	Rissana Chamalia	11.3
??????	Laghdira	11.3
???????	Nouaceur	11.3
?????	Berrechid	11.3
?????	Tizgane	11.3
?????	Amtar	11.3
???????	Targuist	11.3
??????	Bouanane	11.3
???? ??????	Sidi Boumoussa	11.3
????? ?????	Oulad Teima	11.3
??? ??????	Ait Oumdis	11.3
?????	Sefsaf	11.2
????? ?????	Oulad Chbana	11.2
???? ???? ????????	Sidi Allal El Bahraoui	11.2
???? ????	Sidi Aayad	11.2
????? ???? ??? ??????	Ouled Sidi Abdelhakem	11.2
?????	Ahdil	11.2
??????	Tan-Tan	11.2
??????	Tarmigt	11.2
???????	Tinzouline	11.2
??? ????	Bni Zoli	11.2
??????	Arbaoua	11.1
??? ???????	Dar Gueddari	11.1
???? ??????	Lbir Jdid	11.1
????	Sabbah	11.1
?????	Anjra	11.1
?????	Martil	11.1
????	Saka	11.1
???????	Laajajra	11.1
??? ?????	Ain Kansara	11.1
???? ???? ?????	Kandar Sidi Khiar	11.1
?????	Missour	11.1
??? ?????	Ait M'hamed	11.1
???????	Ouarzazate	11.1
????? ???? ????	Tiffert N'ait Hamza	11
??? ????	Bni Said	11
????????	Imindounit	11
???????	Al Ouidane	11
??? ?????	Ait Ourir	11
??????	Steha	10.9
???? ????	Sidi Daoud	10.9
???????	M'haya	10.9
?????	Tabant	10.9
??? ????	Ait Ouallal	10.9
????? ?????	Ouled Hcine	10.8
??? ?????	Ain Harrouda	10.8
??????	Mediouna	10.8
????????	Jaafra	10.8
????? ????	Oulad Zarrad	10.8
??? ???????	Dar Bel Amri	10.8
??????	M'diq	10.8
??????	Tassift	10.8
?????	Zouagha	10.8
???? ???? ??????	Sidi Moussa Lhamri	10.8
????? ?????	Oulad Berhil	10.8
????????	Souihla	10.8
???????	M'semrir	10.8
?????	Arfoud	10.8
????????	M'saada	10.7
????	Azla	10.7
??? ?????	Bni Faghloum	10.7
??? ?????	Bni Darkoul	10.7
??? ????????	Sebt Loudaya	10.7
???? ??? ???? ??????	Sidi Abdellah Al Khayat	10.7
???????	Dkhissa	10.7
??????? ???????	Zaouia Annahlia	10.7
???? ???????	Ahmar Laglalcha	10.7
???????	Tameslohte	10.7
???????	Taznakht	10.7
??????	Ternata	10.7
??? ???? ???	Aarab Sebbah Ziz	10.7
?????	Zouada	10.6
??? ????	Ksar Bjir	10.6
????? ?????	Ouled H'cine	10.6
??? ??????	Jorf El Melha	10.6
??? ?????	Sebaa Rouadi	10.6
???? ??? ??????	Sidi Ali Bel Quassem	10.6
??? ?????	Ait Iaaza	10.6
????????	Laattaouia	10.6
??? ?????-??? ????	Ait Hkim-Ait Yzid	10.6
?????	Ouaoula	10.6
???? ??????	Ighil N'oumgoun	10.6
????? ??????	Ksar Sghir	10.5
??? ????	Beni Malek	10.5
???? ??????	Sidi Al Kamel	10.5
????? ????	Oulad Ziyane	10.5
???? ???? ???????	Sidi Moussa El Majdoub	10.5
??? ????	Ben Guerir	10.5
???? ??? ???????	Sidi Bouknadel	10.5
?????????	Sahtryine	10.5
?????	Saddina	10.5
???????	Al Hamra	10.5
???? ?????	Jnan El Ouard	10.5
?????	Tissaf	10.5
???????	Lamzoudia	10.5
??? ????	Ait Melloul	10.5
?????	Belfaâ	10.5
???? ???????	Sidi Bou Othmane	10.5
??????	Ikniouen	10.5
????????	Er-Rissani	10.5
???? ????	Sidi Abed	10.4
????? ????	Jnane Bouih	10.4
????? ?????	Oulad Ouchih	10.4
????? ????	Ouled Salah	10.4
??? ???	Bni Idder	10.4
????	Majjate	10.4
????	Tissa	10.4
??? ??? ????	Ait Haddou Youssef	10.4
???? ?????	Sidi Dahmane	10.4
????????	Bouizakarne	10.4
???	Assa	10.4
??????	Ouaklim	10.4
???? ???	Sidi Ali	10.4
?????? ????????	Rissana Janoubia	10.3
??? ?????	Ain Tizgha	10.3
???????	Fnideq	10.3
??? ?????	Bni Bouzra	10.3
??? ?????? ???????	Abdelghaya Souahel	10.3
??? ???? ???????	Bni Ahmed Imoukzan	10.3
????	Mikkes	10.3
??????	Gteter	10.3
?????	Tiglit	10.3
????	Agdz	10.3
???????	Rmilat	10.2
????????	Layayda	10.2
???????	Boutferda	10.2
????? ???? ????	Zaouiat Sidi Kacem	10.2
??? ??????	Bni Bouchibet	10.2
??????	Ourika	10.2
??? ??????	Ait Bou Oulli	10.2
??????	Errouha	10.2
????? ??? ??????	Moulay Ali Cherif	10.2
??? ?????	Sebt Gzoula	10.1
???????	Chouafaa	10.1
??? ?????	Bni Yagrine	10.1
??????	Znada	10.1
??? ?????	Mers El Kheir	10.1
?????	Mehdya	10.1
?????	Anergui	10.1
?????	Temsia	10.1
???? ??? ???? ????	Sidi Abdellah Ghiat	10.1
???? ??????	Sidi Boulkhalf	10.1
?????	Abteh	10
????? ?????	Oulad Tayeb	10
????????	Fritissa	10
???? ????	Sidi Chiker	10
??????	Al Mahbass	10
????????	Oukaimden	10
??????	Zagora	10
????????	Sfafaa	9.9
???????	Zaitoune	9.9
???? ???	Dayat-Aoua	9.9
??? ????????	Dar Laaslouji	9.8
????????	Lahraouyine	9.8
?????	Ketama	9.8
???????	Tamsaout	9.8
??? ?????	Bni Bchir	9.8
??????	Tahannaout	9.8
??? ????	Ait Aadel	9.8
????????	Hiadna	9.7
??? ??????	Ain El Aouda	9.7
????? ??????	Ksar El Majaz	9.7
????	Zarkt	9.7
??????	El Atef	9.7
??????	Chichaoua	9.7
??? ???????	Sebt Azzinate	9.6
???? ???? ??????	Sidi Allal Tazi	9.6
??????? ????????	Soualem Trifiya	9.6
??? ???	Bab Berred	9.6
????????	Mansoura	9.6
??? ????	Bni Rzine	9.6
????	Isly	9.6
?????	Mghogha	9.5
?????	Haouzia	9.5
??? ????	Tit Mellil	9.5
??? ????	Bni Yakhlef	9.5
??? ????	Oued Malha	9.5
??? ?????	Ait Blal	9.5
??????	Akhfennir	9.4
?????	Malloussa	9.4
????? ?????	Ouled Slama	9.4
??? ??????	Lalla Mimouna	9.4
??? ????	Bab Taza	9.4
??????	Bouchaouene	9.4
??? ???	Bni Guil	9.4
????? ??????	Zaouiat Ahansal	9.4
??????	Laâyoune	9.3
??????	Deroua	9.3
?????	Iounane	9.3
??????	Maatarka	9.3
????????	Kceibya	9.2
??????	Talambote	9.2
?????	Saada	9.2
??????	Et-Taous	9.2
????? ???? ??????	Moulay Ahmed Cherif	9.1
??????????	Al Bahraoyine	9
??? ?????	Bni Selmane	9
??????	Ouaouzgane	9
??????	Lqliaa	9
??????	Inchaden	9
??????	Bleida	9
?? ?????	Foum El Oued	8.9
???????	Es-Semara	8.9
????????	Mnasra	8.9
??????	Mograne	8.9
???????	Tassoultante	8.9
??????	Jouamaa	8.8
??? ????	Ain Attig	8.8
???? ??????	Sidi Taibi	8.8
?????	Tamorot	8.8
????????	Laouamra	8.7
???? ????? ?????	Sidi Boubker El Haj	8.7
???? ????????	Ameur Chamalia	8.7
????????	Ech-challalate	8.7
??? ????	Bni Smih	8.7
??? ?????	Ain Chkef	8.7
??????	Biougra	8.7
??? ??????	Oued Essafa	8.7
????? ???????	Moulay Bousselham	8.6
?????	Zag	8.6
???? ???? ????	Sidi Mohamed Lahmar	8.5
??? ?????	Dar Bouazza	8.5
???????? ????? ??????	Almajjatia Oulad Taleb	8.5
?? ???????	Had Soualem	8.4
???????	Bouskoura	8.4
?????? ????	Nzalat Laadam	8.4
????? ??? ????	My Abdellah	8.3
???? ???? ???????	Sidi Mohamed Benmansour	8.3
????? ????	Oulad Azzouz	8.3
??? ????	Ait Abbas	8.3
???? ????	Sidi Bibi	8.2
????????	Drargua	8.2
???? ???? ???????	Ouahat Sidi Brahim	8.2
??????	Tarfaya	8.1
??? ?????	Bni Makada	8.1
???????	Ben Mansour	8.1
???? ???? ??? ????	Sidi Hajjaj Oued Hassar	8.1
???? ???? ????	Sidi Yahya Zaer	8.1
??? ????	Bni Salah	8.1
???? ???????	Ameur Seflia	8
?????	Issaguen	8
????? ????? ????	Bahhara Ouled Ayad	7.9
??? ?????	Bni Mansour	7.9
????????	Jdiriya	7.9
???????	Haddada	7.7
?????	Harbil	7.7
????	Ameur	7.4
??? ????	Abbou Lakhal	7.4
???????	Laaouama	7.3
??? ?????	Hjar Ennhal	7.1
??????	Boujdour	6.9
??? ?????	Ait Amira	6.4
???????	Labouirat	6.4
???????	Gueznaia	5.7
??????	El Ouatia	5.4
???????	Dakhla	5.1
????	Tichla	4.3
??? ?????	Bir Gandouz	3.7
??? ??????	Bir Anzarane	3.5
??????	El Marsa	3.4
??????	Imlili	3.4
???????	El Argoub	2.5
?? ?????	Oum Dreyga	0
???????	Aghouinite	
?????	Mijik	
????	Sebta	
??????	Melilia	
?????	Zoug	
???????	Lagouira	
